iter	Passed	Remaining
0	0	92
1	1	91
2	2	86
3	3	88
4	4	85
5	5	84
6	6	82
7	6	79
8	7	76
9	8	77
10	9	75
11	10	74
12	11	74
13	11	72
14	12	72
15	13	70
16	14	69
17	14	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	22	56
29	23	54
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	50
36	29	49
37	29	48
38	30	47
39	31	47
40	32	46
41	33	45
42	33	45
43	34	44
44	35	43
45	36	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	45	34
57	45	32
58	46	32
59	47	31
60	47	30
61	48	29
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	55	22
71	56	22
72	57	21
73	58	20
74	59	19
75	60	18
76	60	18
77	61	17
78	62	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	67	11
85	68	11
86	68	10
87	69	9
88	70	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	78	1
98	79	0
99	80	0
