iter	Logloss
0	0.6732897949
1	0.6558436584
2	0.6421098328
3	0.6308203506
4	0.6180357361
5	0.6093616486
6	0.6008239365
7	0.5921898651
8	0.5829624939
9	0.5760617065
10	0.5709356308
11	0.5664247131
12	0.5595946503
13	0.553401947
14	0.5498830414
15	0.5466794205
16	0.5430369949
17	0.5392641068
18	0.5361258698
19	0.5324573898
20	0.5294999695
21	0.5266016006
22	0.5236172104
23	0.5214573669
24	0.5189624405
25	0.5164848328
26	0.5141964722
27	0.5125762177
28	0.5108221436
29	0.5092902756
30	0.5074401855
31	0.5052285004
32	0.5034189987
33	0.5017876816
34	0.5003830719
35	0.4985523224
36	0.4975461197
37	0.496359024
38	0.4951998138
39	0.4934493637
40	0.4924789429
41	0.4911363602
42	0.4903839111
43	0.4888409424
44	0.4881786728
45	0.4871993637
46	0.485716629
47	0.484713974
48	0.4838040161
49	0.4825009918
50	0.4817993546
51	0.4807795715
52	0.4794366074
53	0.4785400391
54	0.4774420547
55	0.4764788818
56	0.4754483032
57	0.4753858185
58	0.4740674973
59	0.4726972961
60	0.4721618652
61	0.4711896896
62	0.470563736
63	0.4699871063
64	0.4689125061
65	0.4680815887
66	0.4672864914
67	0.4661933517
68	0.465632019
69	0.464210968
70	0.4634223175
71	0.4627803802
72	0.4618080139
73	0.461197052
74	0.4605678177
75	0.4599149704
76	0.4592454529
77	0.4585087585
78	0.4578619385
79	0.4569884872
80	0.4565145874
81	0.4560129547
82	0.4552515411
83	0.4542771149
84	0.4537107849
85	0.4530328369
86	0.4525
87	0.4519552231
88	0.4512388611
89	0.450730896
90	0.4501160049
91	0.4492802811
92	0.4488434601
93	0.4483761978
94	0.4476094055
95	0.4470023346
96	0.4464891815
97	0.4461091995
98	0.4455046082
99	0.444827652
